,header,num_ones
0,Unnamed: 1,10.0
1,Unnamed: 3,1.0
2,Unnamed: 5,16.0
3,Unnamed: 6,3.0
4,Unnamed: 7,14.0
5,Unnamed: 8,1.0
6,Unnamed: 9,5.0
7,Unnamed: 10,12.0
8,Unnamed: 11,3.0
9,Unnamed: 12,2.0
10,Unnamed: 13,29.0
11,Unnamed: 14,1.0
12,Unnamed: 15,1.0
13,Unnamed: 16,8.0
14,Unnamed: 18,7.0
15,Unnamed: 19,14.0
16,Unnamed: 20,2.0
17,Unnamed: 21,1.0
18,Unnamed: 22,6.0
19,Unnamed: 23,9.0
20,Unnamed: 24,15.0
21,Unnamed: 25,3.0
22,Unnamed: 26,17.0
23,Unnamed: 27,7.0
24,Unnamed: 30,16.0
25,Unnamed: 31,3.0
26,Unnamed: 32,5.0
27,Unnamed: 33,5.0
28,Unnamed: 34,7.0
29,Unnamed: 35,14.0
30,Unnamed: 36,1.0
31,Unnamed: 37,64.0
32,Unnamed: 38,1.0
33,Unnamed: 39,12.0
34,Unnamed: 40,7.0
35,Unnamed: 41,1.0
36,Unnamed: 42,3.0
37,Unnamed: 43,18.0
38,Unnamed: 44,5.0
39,Unnamed: 45,6.0
40,Unnamed: 46,1.0
41,Unnamed: 47,1.0
42,Unnamed: 49,4.0
43,Unnamed: 50,12.0
44,Unnamed: 51,8.0
45,Unnamed: 52,9.0
46,Unnamed: 53,11.0
47,Unnamed: 54,3.0
48,Unnamed: 55,7.0
49,Unnamed: 56,19.0
50,Unnamed: 57,2.0
51,Unnamed: 58,4.0
52,Unnamed: 59,1.0
53,Unnamed: 60,1.0
54,Unnamed: 61,16.0
55,Unnamed: 62,3.0
56,Unnamed: 63,20.0
57,Unnamed: 64,1.0
58,Unnamed: 65,5.0
59,Unnamed: 66,6.0
60,Unnamed: 67,4.0
61,Unnamed: 68,3.0
62,Unnamed: 69,6.0
63,Unnamed: 70,5.0
64,Unnamed: 71,4.0
65,Unnamed: 72,8.0
66,Unnamed: 73,16.0
67,Unnamed: 74,8.0
68,Unnamed: 75,7.0
69,Unnamed: 76,3.0
70,Unnamed: 77,14.0
71,Unnamed: 78,11.0
72,Unnamed: 79,1.0
73,Unnamed: 80,2.0
74,Unnamed: 82,15.0
75,Unnamed: 83,9.0
76,Unnamed: 84,21.0
77,Unnamed: 85,5.0
78,Unnamed: 86,1.0
79,Unnamed: 87,8.0
80,Unnamed: 88,5.0
81,Unnamed: 89,3.0
82,Unnamed: 90,2.0
83,Unnamed: 91,19.0
84,Unnamed: 92,2.0
85,Unnamed: 93,15.0
86,Unnamed: 94,12.0
87,Unnamed: 95,4.0
88,Unnamed: 96,27.0
89,Unnamed: 97,3.0
90,Unnamed: 98,3.0
91,Unnamed: 99,17.0
92,Unnamed: 100,4.0
93,Unnamed: 102,3.0
94,Unnamed: 103,4.0
95,Unnamed: 104,3.0
96,Unnamed: 105,1.0
97,Unnamed: 106,4.0
98,Unnamed: 107,9.0
99,Unnamed: 108,3.0
100,Unnamed: 109,1.0
101,Unnamed: 110,12.0
102,Unnamed: 114,2.0
103,Unnamed: 115,23.0
104,Unnamed: 116,16.0
105,Unnamed: 117,26.0
106,Unnamed: 118,23.0
107,Unnamed: 119,19.0
108,Unnamed: 120,7.0
109,Unnamed: 121,7.0
110,Unnamed: 123,1.0
111,Unnamed: 124,8.0
112,Unnamed: 125,1.0
113,Unnamed: 126,15.0
114,Unnamed: 127,3.0
115,Unnamed: 128,2.0
