,mol_num,num_ones,y_train
0,1.0,771.0,-1.0
1,2.0,724.0,-1.0
2,3.0,719.0,-1.0
3,4.0,735.0,-1.0
4,5.0,799.0,-1.0
5,6.0,804.0,-1.0
6,7.0,768.0,-1.0
7,8.0,698.0,-1.0
8,9.0,771.0,-1.0
9,10.0,736.0,-1.0
10,11.0,1650.0,-1.0
11,12.0,875.0,-1.0
12,13.0,1563.0,-1.0
13,14.0,786.0,-1.0
14,15.0,722.0,-1.0
15,16.0,794.0,-1.0
16,17.0,709.0,-1.0
17,18.0,802.0,-1.0
18,19.0,810.0,1.0
19,20.0,791.0,-1.0
20,21.0,965.0,-1.0
21,22.0,889.0,-1.0
22,23.0,835.0,-1.0
23,24.0,859.0,-1.0
24,25.0,796.0,-1.0
25,26.0,726.0,-1.0
26,27.0,916.0,-1.0
27,28.0,987.0,1.0
28,29.0,796.0,-1.0
29,30.0,2103.0,-1.0
30,31.0,1115.0,-1.0
31,32.0,1159.0,1.0
32,33.0,843.0,-1.0
33,34.0,931.0,1.0
34,35.0,992.0,-1.0
35,36.0,1244.0,-1.0
36,37.0,863.0,-1.0
37,38.0,1383.0,-1.0
38,39.0,803.0,-1.0
39,40.0,1175.0,-1.0
40,41.0,793.0,-1.0
41,42.0,788.0,-1.0
42,43.0,802.0,-1.0
43,44.0,827.0,-1.0
44,45.0,732.0,-1.0
45,46.0,720.0,-1.0
46,47.0,783.0,-1.0
47,48.0,777.0,-1.0
48,49.0,893.0,-1.0
49,50.0,808.0,-1.0
50,51.0,1032.0,-1.0
51,52.0,922.0,-1.0
52,53.0,876.0,-1.0
53,54.0,791.0,-1.0
54,55.0,915.0,-1.0
55,56.0,744.0,-1.0
56,57.0,833.0,-1.0
57,58.0,1567.0,-1.0
58,59.0,1359.0,-1.0
59,60.0,804.0,1.0
60,61.0,1985.0,-1.0
61,62.0,1815.0,1.0
62,63.0,1935.0,-1.0
63,64.0,777.0,-1.0
64,65.0,794.0,-1.0
65,66.0,788.0,-1.0
66,67.0,834.0,-1.0
67,68.0,785.0,-1.0
68,69.0,792.0,-1.0
69,70.0,790.0,-1.0
70,71.0,819.0,-1.0
71,72.0,994.0,1.0
72,73.0,873.0,-1.0
73,74.0,756.0,-1.0
74,75.0,803.0,-1.0
75,76.0,923.0,-1.0
76,77.0,902.0,-1.0
77,78.0,960.0,1.0
78,79.0,1372.0,-1.0
79,80.0,842.0,-1.0
80,81.0,861.0,-1.0
81,82.0,1969.0,-1.0
82,83.0,895.0,-1.0
83,84.0,778.0,-1.0
84,85.0,799.0,-1.0
85,86.0,875.0,-1.0
86,87.0,883.0,-1.0
87,88.0,853.0,-1.0
88,89.0,1005.0,-1.0
89,90.0,1178.0,-1.0
90,91.0,846.0,-1.0
91,92.0,852.0,-1.0
92,93.0,854.0,-1.0
93,94.0,841.0,-1.0
94,95.0,1069.0,-1.0
95,96.0,1306.0,-1.0
96,97.0,845.0,-1.0
97,98.0,927.0,-1.0
98,99.0,877.0,-1.0
99,100.0,821.0,-1.0
100,101.0,1707.0,1.0
101,102.0,843.0,-1.0
102,103.0,850.0,-1.0
103,104.0,888.0,-1.0
104,105.0,1374.0,-1.0
105,106.0,838.0,-1.0
106,107.0,875.0,-1.0
107,108.0,1197.0,1.0
108,109.0,3108.0,-1.0
109,110.0,953.0,-1.0
110,111.0,959.0,-1.0
111,112.0,834.0,-1.0
112,113.0,1289.0,-1.0
113,114.0,846.0,-1.0
114,115.0,1137.0,-1.0
115,116.0,845.0,-1.0
116,117.0,875.0,-1.0
117,118.0,865.0,-1.0
118,119.0,824.0,-1.0
119,120.0,885.0,-1.0
120,121.0,859.0,-1.0
121,122.0,884.0,-1.0
122,123.0,1290.0,-1.0
123,124.0,938.0,-1.0
124,125.0,939.0,-1.0
125,126.0,1033.0,-1.0
126,127.0,918.0,-1.0
127,128.0,838.0,-1.0
128,129.0,980.0,-1.0
129,130.0,830.0,-1.0
130,131.0,965.0,-1.0
131,132.0,898.0,-1.0
132,133.0,1185.0,-1.0
133,134.0,919.0,1.0
134,135.0,885.0,-1.0
135,136.0,917.0,-1.0
136,137.0,873.0,-1.0
137,138.0,3085.0,-1.0
138,139.0,903.0,-1.0
139,140.0,871.0,-1.0
140,141.0,855.0,-1.0
141,142.0,911.0,-1.0
142,143.0,1618.0,-1.0
143,144.0,1300.0,-1.0
144,145.0,906.0,-1.0
145,146.0,853.0,-1.0
146,147.0,1024.0,-1.0
147,148.0,1264.0,-1.0
148,149.0,856.0,-1.0
149,150.0,822.0,-1.0
150,151.0,899.0,-1.0
151,152.0,964.0,-1.0
152,153.0,892.0,-1.0
153,154.0,909.0,-1.0
154,155.0,865.0,-1.0
155,156.0,922.0,-1.0
156,157.0,869.0,-1.0
157,158.0,2017.0,-1.0
158,159.0,1558.0,-1.0
159,160.0,887.0,-1.0
160,161.0,930.0,-1.0
161,162.0,958.0,-1.0
162,163.0,946.0,-1.0
163,164.0,926.0,1.0
164,165.0,1002.0,-1.0
165,166.0,927.0,1.0
166,167.0,920.0,-1.0
167,168.0,1529.0,-1.0
168,169.0,914.0,-1.0
169,170.0,887.0,-1.0
170,171.0,963.0,-1.0
171,172.0,952.0,-1.0
172,173.0,931.0,-1.0
173,174.0,949.0,-1.0
174,175.0,1266.0,-1.0
175,176.0,1035.0,-1.0
176,177.0,970.0,-1.0
177,178.0,1214.0,-1.0
178,179.0,1462.0,1.0
179,180.0,962.0,-1.0
